epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
3,2649,,,,0.890625,,0.2085416167974472,,
3,2699,,,,0.890625,,0.23149333894252777,,
3,2749,,,,0.921875,,0.19194744527339935,,
3,2799,,,,0.921875,,0.16027560830116272,,
3,2849,,,,0.90625,,0.22167374193668365,,
3,2899,,,,0.890625,,0.2587031126022339,,
3,2949,,,,0.96875,,0.15071074664592743,,
3,2999,,,,0.890625,,0.34990832209587097,,
3,3049,,,,0.90625,,0.17983104288578033,,
3,3099,,,,0.921875,,0.22594484686851501,,
3,3127,,,,,,,0.9175999760627747,0.23055927455425262
3,3127,,,0.9175000190734863,,0.22235414385795593,,,
4,3149,,,,0.90625,,0.19374026358127594,,
4,3199,,,,0.90625,,0.2183522880077362,,
4,3249,,,,0.96875,,0.09553046524524689,,
4,3299,,,,0.875,,0.24730850756168365,,
4,3349,,,,0.890625,,0.35555174946784973,,
4,3399,,,,0.84375,,0.41573306918144226,,
4,3449,,,,0.890625,,0.271858274936676,,
4,3499,,,,0.921875,,0.14733009040355682,,
4,3549,,,,0.9375,,0.1592903435230255,,
4,3599,,,,0.9375,,0.154592365026474,,
4,3649,,,,0.953125,,0.17420879006385803,,
4,3699,,,,0.9375,,0.18503209948539734,,
4,3749,,,,0.96875,,0.12499039620161057,,
4,3799,,,,0.9375,,0.15143053233623505,,
4,3849,,,,0.90625,,0.2258675992488861,,
4,3899,,,,0.953125,,0.22505509853363037,,
4,3909,,,,,,,0.9203000068664551,0.22815915942192078
4,3909,,,0.9272800087928772,,0.19591592252254486,,,
5,3949,,,,0.953125,,0.21550333499908447,,
5,3999,,,,0.9375,,0.18446385860443115,,
5,4049,,,,0.96875,,0.1335441768169403,,
5,4099,,,,0.90625,,0.22562435269355774,,
5,4149,,,,0.921875,,0.18625780940055847,,
5,4199,,,,0.953125,,0.16355228424072266,,
5,4249,,,,0.953125,,0.1425301432609558,,
5,4299,,,,0.96875,,0.1105412170290947,,
5,4349,,,,0.96875,,0.08706773072481155,,
5,4399,,,,0.9375,,0.183436781167984,,
5,4449,,,,0.921875,,0.1935543566942215,,
5,4499,,,,0.921875,,0.20261505246162415,,
5,4549,,,,0.96875,,0.0983998104929924,,
5,4599,,,,0.921875,,0.18690073490142822,,
5,4649,,,,0.921875,,0.2739280164241791,,
5,4691,,,,,,,0.9194999933242798,0.21975481510162354
5,4691,,,0.9345600008964539,,0.1759091019630432,,,
6,4699,,,,0.953125,,0.09752389043569565,,
6,4749,,,,0.9375,,0.1828801929950714,,
6,4799,,,,0.984375,,0.04964045062661171,,
6,4849,,,,0.96875,,0.10730814933776855,,
6,4899,,,,1.0,,0.05832558870315552,,
6,4949,,,,0.90625,,0.2248428612947464,,
6,4999,,,,0.921875,,0.1748778522014618,,
6,5049,,,,0.984375,,0.07937754690647125,,
6,5099,,,,0.953125,,0.10832343995571136,,
6,5149,,,,0.921875,,0.18173635005950928,,
6,5199,,,,0.921875,,0.22478489577770233,,
6,5249,,,,0.9375,,0.16476629674434662,,
6,5299,,,,0.921875,,0.23541490733623505,,
6,5349,,,,0.875,,0.22484907507896423,,
6,5399,,,,0.96875,,0.09673857688903809,,
6,5449,,,,0.953125,,0.09249362349510193,,
6,5473,,,,,,,0.9228000044822693,0.2228419929742813
6,5473,,,0.9422399997711182,,0.1560496836900711,,,
7,5499,,,,0.984375,,0.04358850046992302,,
7,5549,,,,0.96875,,0.11521382629871368,,
7,5599,,,,0.984375,,0.07837507128715515,,
7,5649,,,,0.9375,,0.15841521322727203,,
7,5699,,,,0.984375,,0.03933051601052284,,
7,5749,,,,0.9375,,0.17580625414848328,,
7,5799,,,,0.953125,,0.14200061559677124,,
7,5849,,,,1.0,,0.024573804810643196,,
7,5899,,,,0.953125,,0.12429247051477432,,
7,5949,,,,0.984375,,0.05502336844801903,,
7,5999,,,,0.953125,,0.08955558389425278,,
7,6049,,,,0.953125,,0.10348933190107346,,
7,6099,,,,0.96875,,0.12787753343582153,,
7,6149,,,,0.921875,,0.2163226455450058,,
7,6199,,,,0.984375,,0.1044522151350975,,
7,6249,,,,0.9375,,0.21089163422584534,,
7,6255,,,,,,,0.9221000075340271,0.23734219372272491
7,6255,,,0.9487000107765198,,0.13761797547340393,,,
8,6299,,,,0.96875,,0.08449415862560272,,
8,6349,,,,0.96875,,0.09607090801000595,,
8,6399,,,,1.0,,0.04418070241808891,,
8,6449,,,,0.953125,,0.1781751662492752,,
8,6499,,,,1.0,,0.040388040244579315,,
8,6549,,,,0.921875,,0.23655767738819122,,
8,6599,,,,0.953125,,0.11949017643928528,,
8,6649,,,,0.96875,,0.1469026505947113,,
8,6699,,,,0.90625,,0.27407607436180115,,
8,6749,,,,0.9375,,0.1695614904165268,,
8,6799,,,,0.9375,,0.20099861919879913,,
8,6849,,,,0.890625,,0.28852981328964233,,
8,6899,,,,0.96875,,0.10372050851583481,,
8,6949,,,,1.0,,0.04036823660135269,,
8,6999,,,,0.921875,,0.20585159957408905,,
8,7037,,,,,,,0.9125000238418579,0.2586565613746643
8,7037,,,0.9535599946975708,,0.12381178885698318,,,
9,7049,,,,0.96875,,0.10523862391710281,,
9,7099,,,,0.984375,,0.059950150549411774,,
9,7149,,,,0.953125,,0.13369081914424896,,
9,7199,,,,0.96875,,0.09232040494680405,,
9,7249,,,,0.96875,,0.07106848806142807,,
9,7299,,,,0.953125,,0.08784671127796173,,
9,7349,,,,1.0,,0.028952794149518013,,
9,7399,,,,0.96875,,0.07153990119695663,,
9,7449,,,,0.953125,,0.11324672400951385,,
9,7499,,,,0.953125,,0.12828685343265533,,
9,7549,,,,0.953125,,0.16196368634700775,,
9,7599,,,,0.96875,,0.06715307384729385,,
9,7649,,,,0.90625,,0.16404029726982117,,
9,7699,,,,0.9375,,0.17461229860782623,,
9,7749,,,,0.96875,,0.09283020347356796,,
9,7799,,,,0.9375,,0.13481205701828003,,
9,7819,,,,,,,0.9269000291824341,0.23567980527877808
9,7819,,,0.9575200080871582,,0.110507532954216,,,
10,7820,0.9174000024795532,0.251870334148407,,,,,,
