epoch,step,train_acc_step,train_loss_step
0,49,0.6875,0.8490490317344666
0,99,0.75,0.7257817387580872
0,149,0.890625,0.373689740896225
0,199,0.765625,0.5529182553291321
0,249,0.765625,0.8185215592384338
0,299,0.828125,0.42104172706604004
0,349,0.828125,0.4539952874183655
0,399,0.84375,0.4839549660682678
0,449,0.84375,0.45672181248664856
0,499,0.875,0.5004911422729492
0,549,0.8125,0.47253042459487915
